,Topic_Num,Topic,Topic_Perc_Contrib,Keywords,Text
0,0,absolute,0.9711,"import, task, file, component, const, frontend, export, change, src, create","['# Working set src/frontend/App.jsx: ``` import GenerateButton from \'./components/GenerateButton\'; import ExecuteButton from \'./components/ExecuteButton\'; import RollbackButton from \'./components/RollbackButton\'; import CommitButton from \'./components/CommitButton\'; import PromptDisplay from \'./components/PromptDisplay\'; import TasksList from \'./components/TasksList\'; import PromptDescriptor from \'./components/PromptDescriptor\'; import NavBar from \'./components/NavBar\'; import ExecutionResultDisplay from \'./components/ExecutionResultDisplay\'; import GitStatusDisplay from \'./components/GitStatusDisplay\'; import CommitMessageInput from \'./components/CommitMessageInput\'; const App = () => {   return (                                                                                                                              ); }; export default App; ``` src/frontend/components/ExecuteButton.jsx: ``` import { executeChange } from \'../service/executeChange\'; import { setExecutionResult } from \'../stores/executionResult\'; const ExecuteButton = () => {   const handleExecuteChange = async () => {     const change = await navigator.clipboard.readText();     const response = await executeChange(change);     setExecutionResult(response.output);     console.log(response.output);   };   return (     Paste & Execute Change   ); }; export default ExecuteButton; ``` src/frontend/stores/executionResult.js: ``` import { createSignal } from \'solid-js\'; export const [executionResult, setExecutionResult] = createSignal(\'\'); ``` src/frontend/components/CommitButton.jsx: ``` import { postCommit } from \'../service/postCommit\'; import { commitMessage, setCommitMessage } from \'../stores/commitMessage\'; import { fetchGitStatus } from \'../service/fetchGitStatus\'; import { setExecutionResult } from \'../stores/executionResult\'; // Importing the necessary function to clear execution result import { setPrompt } from \'../stores/prompt\'; // Importing setPrompt to clear the prompt const CommitButton = () => {   const handleCommit = async () => {     const response = await postCommit(commitMessage());     console.log(response.message);     const status = await fetchGitStatus();     console.log(status);     setExecutionResult(\'\'); // Clearing the execution result after commit     setCommitMessage(\'\'); // Clearing the commit message after commit     setPrompt(\'\'); // Clearing the prompt after commit   };   return (     Commit   ); }; export default CommitButton; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! Requirements: - Create a signal in src/frontend/stores/change.js - Save the pasted change after it was executed. - Clear the change after commit. ## Project Specifics - Every js file should *only export a single function*! - Use *ES6 imports*! - Prefer *async/await* over promises! - The frontend uses *Solidjs*, edit .jsx file accordingly # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] echo ""Plan:"" echo ""1. [...]"" [Commands solving the task] echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END ']"
1,0,absolute,0.9616,"import, task, file, component, const, frontend, export, change, src, create","['# Working set src/frontend/generatePrompt.js: ``` import { getBaseUrl } from \'./getBaseUrl\'; const generatePrompt = async (notes) => {   const baseUrl = getBaseUrl();   const response = await fetch(`${baseUrl}/generate`, {     method: \'POST\',     headers: { \'Content-Type\': \'application/json\' },     body: JSON.stringify({ notes })   });   const data = await response.json();   return data; }; export { generatePrompt }; ``` src/frontend/App.jsx: ``` import NotesInput from \'./components/NotesInput\'; import StartButton from \'./components/StartButton\'; import PromptDisplay from \'./components/PromptDisplay\'; import TasksList from \'./components/TasksList\'; import PromptDescriptor from \'./components/PromptDescriptor\'; import { notes, setNotes } from \'./stores/notes\'; import { prompt, setPrompt } from \'./stores/prompt\'; const App = () => {   return (     <>                                           ); }; export default App; ``` src/frontend/stores/prompt.js: ``` import { createSignal } from \'solid-js\'; export const [prompt, setPrompt] = createSignal(\'\'); ``` src/frontend/components/PromptDisplay.jsx: ``` import { createSignal, onMount } from ""solid-js""; const PromptDisplay = ({prompt}) => {   let div;   onMount(() => {     div.innerHTML = prompt();   });   return (        ); }; export default PromptDisplay; ``` # Task Fix the following issue! The generated prompt is copied to the clipboard, but the display fails to show anything. The prompt signal should not be passed from app to display anyway. import it from the display too. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files without substitution. Assume OSX. npm and jq are installed. Do NOT write any text outside the script (the plan goes into it)! EXAMPLE START ```sh #!/bin/sh # Goal: [Task description, max 7 words] # Plan: # 1. [...] [Commands solving the task] ``` EXAMPLE END ']"
2,0,absolute,0.9583,"import, task, file, component, const, frontend, export, change, src, create","[""# Working set src/frontend/App.jsx: ``` import NotesInput from './components/NotesInput'; import StartButton from './components/StartButton'; import PromptDisplay from './components/PromptDisplay'; import TasksList from './components/TasksList'; import PromptDescriptor from './components/PromptDescriptor'; import NavBar from './components/NavBar'; import { notes, setNotes } from './stores/notes'; import { setPrompt } from './stores/prompt'; const App = () => {   return (                                                       ); }; export default App; ``` src/frontend/components/PromptDescriptor.jsx: ``` import { onMount, onCleanup } from 'solid-js'; import { fetchDescriptor } from '../service/fetchDescriptor'; import { useWebsocket } from '../service/useWebsocket'; import { promptDescriptor, setPromptDescriptor } from '../stores/promptDescriptor'; const PromptDescriptor = () => {   onMount(async () => {     const text = await fetchDescriptor();     setPromptDescriptor(text);   });   useWebsocket(async (e) => {     if (e.data === 'update') {       const text = await fetchDescriptor();       setPromptDescriptor(text);     }   });   onCleanup(() => {     setPromptDescriptor('');   });   return (            {promptDescriptor()}        ); }; export default PromptDescriptor; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: The pre should not be wider than the screen. Allow wrapping of the text! add an extra div if needed. Use tailwind utility classes. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files without substitution. Assume OSX. npm and jq are installed. Do NOT write any text outside the script (the plan goes into it)! EXAMPLE START ```sh #!/bin/sh # Goal: [Task description, max 7 words] # Plan: # 1. [...] [Commands solving the task] ``` EXAMPLE END ""]"
3,0,absolute,0.9575,"import, task, file, component, const, frontend, export, change, src, create","['# Working set src/frontend/App.jsx: ``` import GenerateButton from \'./components/GenerateButton\'; import ExecuteButton from \'./components/ExecuteButton\'; import ResetButton from \'./components/ResetButton\'; import PromptDisplay from \'./components/PromptDisplay\'; import TasksList from \'./components/TasksList\'; import PromptDescriptor from \'./components/PromptDescriptor\'; import NavBar from \'./components/NavBar\'; const App = () => {   return (                                                                                          ); }; export default App; ``` src/frontend/service/executeChange.js: ``` import { getBaseUrl } from \'../getBaseUrl\'; const executeChange = async (change) => {   const baseUrl = getBaseUrl();   const response = await fetch(`${baseUrl}/execute`, {     method: \'POST\',     headers: { \'Content-Type\': \'application/json\' },     body: JSON.stringify({ change })   });   const data = await response.json();   return data; }; export { executeChange }; ``` src/frontend/components/ExecuteButton.jsx: ``` import { executeChange } from \'../service/executeChange\'; const ExecuteButton = () => {   const handleExecuteChange = async () => {     const change = await navigator.clipboard.readText();     const response = await executeChange(change);     console.log(response.message);   };   return (     Paste & Execute Change   ); }; export default ExecuteButton; ``` src/frontend/stores/promptDescriptor.js: ``` import { createSignal } from \'solid-js\'; export const [promptDescriptor, setPromptDescriptor] = createSignal(\'\'); ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: Create a signal in a new file in stores for result of the execution Create a new component for displaying the result of the execution Put the new component under the execute button # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] # Plan: # 1. [...] # ... [Commands solving the task] echo "" 033[32mCompleted: $goal 033[0m n"" ``` EXAMPLE END ']"
4,0,absolute,0.9508,"import, task, file, component, const, frontend, export, change, src, create","[""# Working set src/frontend/App.jsx: ``` import NotesInput from './components/NotesInput'; import StartButton from './components/StartButton'; import PromptDisplay from './components/PromptDisplay'; import TasksList from './components/TasksList'; import { notes, setNotes } from './stores/notes'; import { prompt, setPrompt } from './stores/prompt'; const App = () => {   return (     <>                                    ); }; export default App; ``` src/frontend/components/TasksList.jsx: ``` import { onCleanup, onMount } from 'solid-js'; import { fetchTasks } from '../fetchTasks'; import { handleTaskChange } from '../service/handleTaskChange'; import { fetchDescriptor } from '../service/fetchDescriptor'; import { parseYamlAndGetTask } from '../service/parseYamlAndGetTask'; import { useWebsocket } from '../service/useWebsocket'; import { promptDescriptor, setPromptDescriptor } from '../stores/promptDescriptor'; import { selectedTask, setSelectedTask } from '../stores/selectedTask'; const TasksList = () => {   const tasks = fetchTasks();   onMount(async () => {     const text = await fetchDescriptor();     const task = parseYamlAndGetTask(text);     setPromptDescriptor(text);     setSelectedTask(task);   });   useWebsocket(async (e) => {     if (e.data === 'update') {       const text = await fetchDescriptor();       setPromptDescriptor(text);     }   });   onCleanup(() => {     setPromptDescriptor('');   });   return (            Task:        handleTaskChange(e, setPromptDescriptor)}>         {tasks().map(task => {task})}              {promptDescriptor()}        ); }; export default TasksList; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: TaskList also displays the prompt descriptor. Refactor by creating a separate component for displaying the prompt desriptor and use it in App, not in taskslist! Also delete the unneeded src/frontend/components/TasksList.jsx.bak file! # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files without substitution. Assume OSX. npm and jq are installed. Do NOT write any text outside the script (the plan goes into it)! EXAMPLE START ```sh #!/bin/sh # Goal: [Task description, max 7 words] # Plan: # 1. [...] [Commands solving the task] ``` EXAMPLE END ""]"
5,0,absolute,0.9483,"import, task, file, component, const, frontend, export, change, src, create","['# Working set src/frontend/App.jsx: ``` import NotesInput from \'./components/NotesInput\'; import StartButton from \'./components/StartButton\'; import PromptDisplay from \'./components/PromptDisplay\'; import TasksList from \'./components/TasksList\'; import PromptDescriptor from \'./components/PromptDescriptor\'; import NavBar from \'./components/NavBar\'; import { notes, setNotes } from \'./stores/notes\'; import { setPrompt } from \'./stores/prompt\'; const App = () => {   return (                                                       ); }; export default App; ``` src/frontend/components/PromptDisplay.jsx: ``` import { createSignal, onMount, createEffect } from ""solid-js""; import { prompt } from \'../stores/prompt\'; const PromptDisplay = () => {   let div;   createEffect(() => {     if (div) {       div.innerHTML = prompt();     }   });   return (        ); }; export default PromptDisplay; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: The div in PromptDisplay should never be wider than the screen. Allow wrapping of the text! add an extra div if needed. Use tailwind utility classes. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files without substitution. Assume OSX. npm and jq are installed. Do NOT write any text outside the script (the plan goes into it)! EXAMPLE START ```sh #!/bin/sh # Goal: [Task description, max 7 words] # Plan: # 1. [...] [Commands solving the task] ``` EXAMPLE END ']"
6,0,absolute,0.9464,"import, task, file, component, const, frontend, export, change, src, create","[""# Working set src/frontend/App.jsx: ``` import { createSignal } from 'solid-js'; import NotesInput from './components/NotesInput'; import StartButton from './components/StartButton'; import PromptDisplay from './components/PromptDisplay'; import TasksList from './components/TasksList'; const App = () => {   const [notes, setNotes] = createSignal('');   const [prompt, setPrompt] = createSignal('');   return (     <>                                    ); }; export default App; ``` src/frontend/components/TasksList.jsx: ``` import { createSignal, onCleanup, onMount } from 'solid-js'; import { fetchTasks } from '../fetchTasks'; import { handleTaskChange } from '../service/handleTaskChange'; import { fetchDescriptor } from '../service/fetchDescriptor'; import { parseYamlAndGetTask } from '../service/parseYamlAndGetTask'; import { useWebsocket } from '../service/useWebsocket'; const TasksList = () => {   const tasks = fetchTasks();   const [promptDescriptor, setPromptDescriptor] = createSignal('');   const [selectedTask, setSelectedTask] = createSignal('');   onMount(async () => {     const text = await fetchDescriptor();     const task = parseYamlAndGetTask(text);     setPromptDescriptor(text);     setSelectedTask(task);   });   useWebsocket(async (e) => {     if (e.data === 'update') {       const text = await fetchDescriptor();       setPromptDescriptor(text);     }   });   onCleanup(() => {     setPromptDescriptor('');   });   return (            Task:        handleTaskChange(e, setPromptDescriptor)}>         {tasks().map(task => {task})}              {promptDescriptor()}        ); }; export default TasksList; ``` # Task Refactor! Create a dir &#34;src/frontend/stores&#34; and move all the signals and stores there. Create separate files for each signal and store. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files without substitution. Assume OSX. npm and jq are installed. Do NOT write any text outside the script (the plan goes into it)! EXAMPLE START ```sh #!/bin/sh # Goal: [Task description, max 7 words] # Plan: # 1. [...] [Commands solving the task] ``` EXAMPLE END ""]"
7,0,absolute,0.9431,"import, task, file, component, const, frontend, export, change, src, create","['# Working set src/frontend/App.jsx: ``` import NotesInput from \'./components/NotesInput\'; import StartButton from \'./components/StartButton\'; import ExecuteButton from \'./components/ExecuteButton\'; import ResetButton from \'./components/ResetButton\'; import PromptDisplay from \'./components/PromptDisplay\'; import TasksList from \'./components/TasksList\'; import PromptDescriptor from \'./components/PromptDescriptor\'; import NavBar from \'./components/NavBar\'; import { notes, setNotes } from \'./stores/notes\'; import { setPrompt } from \'./stores/prompt\'; const App = () => {   return (                                                                                                   ); }; export default App; ``` src/frontend/stores/notes.js: ``` import { createSignal } from \'solid-js\'; export const [notes, setNotes] = createSignal(\'\'); ``` src/frontend/components/NotesInput.jsx: ``` import { createSignal } from \'solid-js\'; const NotesInput = () => {   const [notes, setNotes] = createSignal(\'\');      return (      setNotes(e.target.value)} />   ); }; export default NotesInput; ``` src/frontend/components/StartButton.jsx: ``` import { generatePrompt } from \'../generatePrompt\'; import { marked } from \'marked\'; import copy from \'clipboard-copy\'; const StartButton = ({notes, setPrompt}) => {   const handleGeneratePrompt = async () => {     const response = await generatePrompt(notes());     copy(response.prompt)       .then(() => {         console.log(\'Prompt copied to clipboard!\');       })       .catch(err => {         console.error(\'Failed to copy prompt: \', err);       });     const htmlPrompt = marked(response.prompt);     setPrompt(htmlPrompt);   };   return (     Generate & Copy Prompt   ); }; export default StartButton; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: Fully eliminate the notes input feature! # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] # Plan: # 1. [...] # ... # N. echo ""Completed: $goal n"" [Commands solving the task] ``` EXAMPLE END ']"
8,0,absolute,0.9423,"import, task, file, component, const, frontend, export, change, src, create","[""# Working set src/frontend/App.jsx: ``` import NotesInput from './components/NotesInput'; import StartButton from './components/StartButton'; import PromptDisplay from './components/PromptDisplay'; import TasksList from './components/TasksList'; import PromptDescriptor from './components/PromptDescriptor'; import NavBar from './components/NavBar'; import { notes, setNotes } from './stores/notes'; import { setPrompt } from './stores/prompt'; const App = () => {   return (                                                       ); }; export default App; ``` src/frontend/components/PromptDescriptor.jsx: ``` import { onMount, onCleanup } from 'solid-js'; import { fetchDescriptor } from '../service/fetchDescriptor'; import { useWebsocket } from '../service/useWebsocket'; import { promptDescriptor, setPromptDescriptor } from '../stores/promptDescriptor'; const PromptDescriptor = () => {   onMount(async () => {     const text = await fetchDescriptor();     setPromptDescriptor(text);   });   useWebsocket(async (e) => {     if (e.data === 'update') {       const text = await fetchDescriptor();       setPromptDescriptor(text);     }   });   onCleanup(() => {     setPromptDescriptor('');   });   return (     {promptDescriptor()}   ); }; export default PromptDescriptor; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: The pre in PromptDescriptor should never be wider than the screen. Allow horizontal scrolling of it! add an extra div if needed. Use tailwind utility classes. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files without substitution. Assume OSX. npm and jq are installed. Do NOT write any text outside the script (the plan goes into it)! EXAMPLE START ```sh #!/bin/sh # Goal: [Task description, max 7 words] # Plan: # 1. [...] [Commands solving the task] ``` EXAMPLE END ""]"
9,0,absolute,0.9372,"import, task, file, component, const, frontend, export, change, src, create","['# Working set src/frontend/App.jsx: ``` import StartButton from \'./components/StartButton\'; import ExecuteButton from \'./components/ExecuteButton\'; import ResetButton from \'./components/ResetButton\'; import PromptDisplay from \'./components/PromptDisplay\'; import TasksList from \'./components/TasksList\'; import PromptDescriptor from \'./components/PromptDescriptor\'; import NavBar from \'./components/NavBar\'; import { setPrompt } from \'./stores/prompt\'; const App = () => {   return (                                                                                          ); }; export default App; ``` src/frontend/components/StartButton.jsx: ``` import { generatePrompt } from \'../generatePrompt\'; import { marked } from \'marked\'; import copy from \'clipboard-copy\'; const StartButton = ({setPrompt}) => {   const handleGeneratePrompt = async () => {     const response = await generatePrompt();     copy(response.prompt)       .then(() => {         console.log(\'Prompt copied to clipboard!\');       })       .catch(err => {         console.error(\'Failed to copy prompt: \', err);       });     const htmlPrompt = marked(response.prompt);     setPrompt(htmlPrompt);   };   return (     Generate & Copy Prompt   ); }; export default StartButton; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! - Every js file should only export a single function! - Use ES6 imports! Requirements: Rename StartButton to GenerateButton and do not pass setPrompt to it, it can import itself. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, prefer heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] # Plan: # 1. [...] # ... # N. echo ""Completed: $goal n"" [Commands solving the task] ``` EXAMPLE END ']"
